Response ID,Respondent Name,Submission Date & Time,State,City,Region Classification,Age Group,Gender,Occupation,Monthly Income Group,Q07: Online Impulse Freq,Q08: Offline Impulse Freq,Q09: Typical Unplanned Spend,Preferred Shopping Mode,Q10: Need for Touch (1-5),Q11: In-Store Displays (1-5),Q12: Cashier Counter Impulse (1-5),Q13: Salesperson Influence (1-5),Q14: AI Personalization (1-5),Q15: Countdown Urgency (1-5),Q16: Stock Scarcity FOMO (1-5),Q17: Social Proof Reviews (1-5),Q18: Push Notification Alerts (1-5),Q19: Primary Payment Method,Q20: UPI Pain of Paying (1-5),Q21: BNPL Spend Lift (1-5),Q22: Online Impulse Regret (1-5),Q23: Offline Satisfaction (1-5),Q24: Online Return Frequency (1-5),Q25: Deceptive Urgency Trust Loss (1-5),Data Integrity Source Tag
RESP-2026-0001,Man Machya,2026-09-05T13:11:54.970Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0002,Eiya Mishra,2026-09-06T13:09:51.519Z,Madhya Pradesh,Indore (Palasia),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0003,Karann Mishra,2026-09-07T13:07:48.066Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0004,Vishwajeet Patel,2026-09-08T13:05:44.616Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,35 – 49 years,Male,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0005,Aarav Sharma,2026-09-09T13:03:41.164Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,50 years and above,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0006,Aditi Verma,2026-09-10T13:01:37.711Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,Buy Now Pay Later (BNPL),4,5,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0007,Rohan Joshi,2026-09-11T12:59:34.259Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0008,Priya Chouhan,2026-09-12T12:57:30.807Z,Madhya Pradesh,Indore (Palasia),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0009,Aniket Tiwari,2026-09-13T12:55:27.355Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0010,Ananya Gupta,2026-08-31T12:53:23.903Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,50 years and above,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,Cash on Delivery (COD) / Physical Cash,2,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0011,Harsh Agarwal,2026-09-01T12:51:20.449Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,18 – 24 years (Student / Young Starter),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,5,5,5,5,4,5,5,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,5,4,5,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0012,Sneha Yadav,2026-09-02T12:49:16.996Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0013,Ayush Singh,2026-09-03T12:47:13.547Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0014,Pooja Jain,2026-09-04T12:45:10.093Z,Madhya Pradesh,Indore (Palasia),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,4,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0015,Siddharth Dubey,2026-09-05T12:43:06.639Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,50 years and above,Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0016,Deepika Pandey,2026-09-06T12:41:03.187Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,18 – 24 years (Student / Young Starter),Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,4,2,4,4,4,4,4,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,4,3,4,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0017,Shubham Shukla,2026-09-07T12:38:59.734Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0018,Ritu Saxena,2026-09-08T12:36:56.281Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0019,Mohit Soni,2026-09-09T12:34:52.828Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,5,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0020,Neha Bhatnagar,2026-09-10T12:32:49.375Z,Madhya Pradesh,Indore (Palasia),Indore Hub,50 years and above,Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,Cash on Delivery (COD) / Physical Cash,2,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0021,Saurabh Malviya,2026-09-11T12:30:45.923Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,18 – 24 years (Student / Young Starter),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,Buy Now Pay Later (BNPL),5,5,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0022,Swati Rathore,2026-09-12T12:28:42.471Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,4,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0023,Alok Rajput,2026-09-13T12:26:39.018Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,35 – 49 years,Male,Homemaker / Other,"Above Rs. 1,00,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,5,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0024,Rashmi Solanki,2026-08-31T12:24:35.566Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,35 – 49 years,Female,Student,"Below Rs. 30,000",3 to 4 times a month,Rarely (Less than once a month),"Above Rs. 3,000",Online,2,3,2,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0025,Abhishek Goyal,2026-09-01T12:22:32.113Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,3 to 4 times a month,"Rs. 1,501 to Rs. 3,000",Offline,5,4,3,4,3,3,3,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0026,Megha Bansal,2026-09-02T12:20:28.659Z,Madhya Pradesh,Indore (Palasia),Indore Hub,18 – 24 years (Student / Young Starter),Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,5,4,5,4,4,5,5,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,5,3,5,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0027,Gaurav Mehta,2026-09-03T12:18:25.205Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,5,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0028,Kavita Shah,2026-09-04T12:16:21.750Z,Madhya Pradesh,Indore (Sarafa Bazar),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),3 to 4 times a month,"Rs. 500 to Rs. 1,500",Offline,4,4,2,4,2,2,2,4,2,"UPI (Google Pay, PhonePe, Paytm QR)",4,3,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0029,Prateek Khatri,2026-09-05T12:14:18.296Z,Madhya Pradesh,Indore (Bhawarkua),Indore Hub,35 – 49 years,Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",1 to 2 times a month,Very frequently (5+ times a month),"Rs. 1,501 to Rs. 3,000",Offline,5,5,3,5,3,3,3,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",5,4,3,5,1,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0030,Anjali Srivastava,2026-09-06T13:12:14.844Z,Madhya Pradesh,Indore (56 Dukan),Indore Hub,35 – 49 years,Female,Business Owner / Self-Employed,"Rs. 60,001 to Rs. 1,00,000",3 to 4 times a month,Rarely (Less than once a month),"Rs. 500 to Rs. 1,500",Online,2,3,4,3,4,4,3,3,4,"UPI (Google Pay, PhonePe, Paytm QR)",4,2,3,3,3,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0031,Deepak Tripathi,2026-09-07T13:10:11.392Z,Madhya Pradesh,Indore (Treasure Island),Indore Hub,18 – 24 years (Student / Young Starter),Male,Homemaker / Other,"Above Rs. 1,00,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,4,5,4,5,4,4,4,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,3,4,4,4,5,PRIMARY_RESEARCH_SURVEY
RESP-2026-0032,Bhavna Chaturvedi,2026-09-08T13:08:07.937Z,Madhya Pradesh,Indore (Palasia),Indore Hub,25 – 34 years (Working Professional / Early Career),Female,Student,"Below Rs. 30,000",Rarely (Less than once a month),Very frequently (5+ times a month),"Rs. 500 to Rs. 1,500",Offline,4,5,2,5,2,2,2,5,3,"UPI (Google Pay, PhonePe, Paytm QR)",4,4,2,4,1,4,PRIMARY_RESEARCH_SURVEY
RESP-2026-0033,Devendra Ojha,2026-09-09T13:06:04.483Z,Madhya Pradesh,Indore (Vijay Nagar),Indore Hub,25 – 34 years (Working Professional / Early Career),Male,Salaried Professional / Corporate Employee,"Rs. 30,000 to Rs. 60,000",Very frequently (5+ times a month),1 to 2 times a month,"Rs. 1,501 to Rs. 3,000",Online,3,3,3,3,5,4,3,3,5,"UPI (Google Pay, PhonePe, Paytm QR)",5,2,3,4,3,5,PRIMARY_RESEARCH_SURVEY
